word	tag	count	occurrence
.	.	147364	19056
the	DT	127350	18112
","	","	97506	15976
and	CC	84467	17649
i	PRP	79420	15885
a	DT	67512	16201
to	TO	58550	15226
was	VBD	41408	11348
it	PRP	40200	13278
of	IN	38676	13223
is	VBZ	33735	13093
for	IN	29392	12783
in	IN	27685	11970
!	.	25920	9740
you	PRP	21750	8885
my	PRP$	21598	10025
with	IN	20777	10057
but	CC	20257	10678
this	DT	20115	10994
they	PRP	19554	9398
we	PRP	18687	6405
on	IN	17752	9424
n't	RB	16700	8651
that	IN	15220	7911
not	RB	15005	8411
are	VBP	13771	7920
at	IN	12512	7431
had	VBD	12482	7000
place	NN	12222	8068
were	VBD	12030	6245
have	VBP	11728	7202
good	JJ	11351	7427
food	NN	10950	7014
be	VB	10791	7096
as	IN	10595	5911
...	:	10483	4649
so	RB	9400	6298
's	VBZ	9043	5312
me	PRP	8834	5255
if	IN	8797	5957
just	RB	8478	5797
here	RB	8300	6042
great	JJ	8141	5886
all	DT	8060	5600
's	POS	7876	4831
very	RB	7695	5252
one	CD	7390	5261
)	:	7387	4787
their	PRP$	7311	4709
or	CC	7241	4961
there	EX	7139	4970
like	IN	7076	4966
our	PRP$	6922	3531
time	NN	6893	5053
from	IN	6882	4986
would	MD	6832	4686
when	WRB	6720	4851
really	RB	6439	4516
(	:	6402	4218
do	VBP	6274	4457
about	IN	6112	4376
some	DT	6031	4333
?	.	5992	3174
did	VBD	5882	3980
an	DT	5829	4399
have	VB	5734	4224
what	WP	5694	4227
which	WDT	5626	3927
service	NN	5583	4601
''	''	5490	3296
can	MD	5483	4122
been	VBN	5470	4140
out	RP	5349	4081
``	``	5278	3219
get	VB	5250	4008
your	PRP$	5229	3500
-	:	5203	2343
back	RB	5143	4283
will	MD	5135	4101
that	WDT	4927	3757
up	RP	4878	3698
$	$	4871	2794
also	RB	4714	3725
no	DT	4581	3379
he	PRP	4527	2174
by	IN	4501	3498
've	VBP	4393	3212
go	VB	4368	3658
has	VBZ	4198	3344
because	IN	4180	3155
:	:	4154	2578
too	RB	4098	3327
'm	VBP	4058	3006
other	JJ	4049	3265
even	RB	4048	3282
them	PRP	4031	2959
could	MD	3951	3085
that	DT	3933	3059
always	RB	3929	2958
she	PRP	3904	1844
best	JJS	3811	3273
us	PRP	3636	2337
than	IN	3621	3011
only	RB	3601	3015
after	IN	3517	2741
so	IN	3507	2750
nice	JJ	3480	2821
there	RB	3480	2881
well	RB	3419	2845
out	IN	3326	2845
got	VBD	3301	2518
pretty	RB	3203	2554
menu	NN	3195	2458
people	NNS	3180	2539
never	RB	2947	2470
restaurant	NN	2943	2250
staff	NN	2902	2575
more	JJR	2815	2399
then	RB	2814	2136
going	VBG	2791	2383
little	RB	2770	2279
went	VBD	2700	2267
how	WRB	2695	2201
way	NN	2691	2293
who	WP	2672	2162
bar	NN	2662	1879
delicious	JJ	2651	2265
love	VBP	2582	2159
over	IN	2574	2139
am	VBP	2569	2043
came	VBD	2521	1964
two	CD	2480	1965
lunch	NN	2475	1810
again	RB	2449	2110
order	NN	2427	1838
&	CC	2413	1305
few	JJ	2397	2005
now	RB	2393	2035
any	DT	2378	2058
