word	count	occurrence
.	147364	19056
the	127622	18119
","	97506	15976
and	84523	17650
i	79848	15912
a	67543	16201
to	58595	15230
was	41629	11381
it	40231	13285
of	38712	13228
is	33778	13100
for	29470	12796
!	28017	9990
in	27884	12011
that	24157	10116
my	21833	10076
you	21807	8899
with	20793	10062
but	20264	10678
this	20153	11000
they	19568	9402
we	18736	6414
on	17833	9450
have	17674	9458
's	16921	8253
n't	16700	8651
not	15095	8438
had	14523	7948
are	13870	7953
so	12958	7664
good	12603	8039
at	12546	7441
place	12470	8190
were	12095	6261
food	12048	7659
)	11860	6402
as	11052	6017
be	10842	7118
(	10684	5915
there	10653	6673
...	10483	4649
great	10027	6974
like	9410	6160
me	8958	5301
all	8847	5978
very	8842	5861
if	8813	5963
out	8785	5967
just	8519	5818
do	8350	5523
here	8339	6061
one	7730	5431
their	7359	4728
get	7353	5214
or	7249	4964
time	7039	5101
our	6967	3550
from	6896	4992
would	6846	4694
when	6728	4855
go	6644	5118
really	6483	4542
service	6436	5310
up	6378	4573
about	6315	4477
back	6097	4854
did	6081	4092
some	6035	4337
?	5992	3174
an	5832	4401
what	5760	4260
which	5671	3955
been	5655	4277
can	5631	4221
''	5490	3296
will	5432	4358
``	5278	3219
your	5276	3519
-	5204	2343
more	5113	3905
$	4871	2794
only	4868	3896
also	4716	3725
no	4683	3439
've	4592	3339
he	4531	2174
by	4527	3512
nice	4303	3389
love	4251	3284
has	4210	3350
because	4202	3168
:	4154	2578
too	4137	3352
'm	4089	3025
even	4067	3291
other	4053	3266
little	4037	3116
well	4036	3260
them	4036	2962
always	3984	2984
could	3952	3085
best	3930	3350
she	3912	1848
us	3756	2403
got	3748	2830
than	3625	3014
after	3548	2758
try	3522	2935
ordered	3384	2433
menu	3347	2556
chicken	3333	2113
order	3284	2372
much	3274	2715
pretty	3273	2601
first	3248	2683
people	3217	2564
restaurant	3217	2419
went	3197	2676
never	3044	2530
over	3005	2422
know	2974	2380
friendly	2963	2780
staff	2939	2604
make	2872	2432
going	2848	2427
way	2837	2404
then	2828	2142
bar	2820	1944
am	2799	2209
think	2724	2289
better	2723	2336
came	2722	2121
how	2704	2208
delicious	2699	2302
who	2679	2165
pizza	2638	1227
right	2614	2175
off	2591	2178
lunch	2587	1871
again	2586	2210
cheese	2560	1761
made	2559	2115
come	2536	2177
two	2489	1972
fresh	2488	1969
want	2460	2084
now	2420	2052
&	2413	1305
night	2410	1916
few	2398	2005
say	2392	2066
any	2390	2065
new	2387	1921
day	2358	1938
around	2345	2010
still	2326	1953
definitely	2316	2055
eat	2294	1929
salad	2261	1562
see	2261	1881
before	2257	1921
wait	2246	1821
while	2237	1928
experience	2235	1862
sure	2221	1949
happy	2215	1711
said	2196	1615
since	2182	1852
down	2180	1878
sauce	2178	1528
her	2174	1279
find	2167	1853
take	2155	1837
area	2142	1779
amazing	2130	1815
're	2127	1672
ever	2124	1889
'll	2104	1786
next	2101	1811
everything	2101	1857
location	2095	1598
every	2059	1774
bit	2050	1744
something	2033	1751
most	2026	1778
times	2008	1759
table	1994	1459
ca	1981	1773
meal	1957	1555
2	1951	1543
give	1940	1736
though	1937	1687
bad	1935	1654
into	1926	1623
many	1912	1663
last	1891	1661
lot	1886	1621
thing	1886	1672
big	1882	1611
another	1875	1611
where	1864	1599
being	1850	1587
hour	1844	1390
dinner	1842	1495
small	1835	1544
its	1782	1357
home	1768	1512
5	1767	1485
favorite	1748	1541
minutes	1739	1223
both	1737	1455
side	1735	1458
awesome	1732	1554
hot	1723	1326
price	1721	1486
drinks	1695	1383
his	1681	1196
prices	1666	1517
took	1664	1405
phoenix	1653	1366
'd	1649	1343
tried	1646	1465
should	1640	1404
sandwich	1631	1030
3	1626	1380
drink	1617	1303
burger	1614	862
does	1600	1415
store	1573	1037
looking	1559	1390
enough	1556	1379
long	1554	1372
beer	1531	1030
tasty	1528	1348
feel	1528	1355
coffee	1525	875
stars	1522	1287
atmosphere	1522	1439
work	1514	1289
things	1503	1316
breakfast	1497	1009
fries	1496	1009
different	1489	1311
asked	1489	1124
sweet	1481	1176
need	1475	1305
room	1474	1004
places	1464	1296
recommend	1460	1389
nothing	1433	1250
excellent	1419	1241
old	1414	1185
wine	1413	901
wanted	1409	1200
server	1393	1026
found	1388	1232
bread	1387	1039
same	1385	1231
worth	1384	1283
;	1379	1035
taste	1366	1181
away	1362	1222
years	1360	1184
--	1347	702
told	1342	988
selection	1336	1152
clean	1334	1194
thought	1331	1158
actually	1329	1185
special	1318	1138
flavor	1315	1056
check	1313	1130
these	1305	1125
huge	1303	1171
quality	1301	1126
once	1298	1152
visit	1294	1123
free	1283	1034
friends	1273	1110
probably	1263	1163
meat	1250	974
friend	1246	982
perfect	1244	1092
maybe	1244	1057
sushi	1234	602
4	1227	1055
quite	1225	1077
look	1224	1087
those	1221	1090
super	1221	1072
full	1220	1072
rice	1219	857
large	1216	1043
fun	1215	1015
enjoy	1214	1084
kind	1212	1064
however	1211	1079
inside	1208	1058
usually	1200	1032
each	1196	1010
anything	1192	1086
why	1186	1046
cool	1182	1009
let	1172	1039
town	1167	1068
beef	1157	823
top	1157	1055
dish	1145	833
scottsdale	1138	942
ok	1137	969
items	1132	922
decided	1132	996
review	1125	984
house	1123	931
through	1120	955
spot	1117	998
else	1114	1019
everyone	1109	1012
far	1106	1020
ask	1088	965
used	1085	958
family	1085	930
husband	1082	788
outside	1082	958
left	1073	961
open	1072	924
couple	1071	959
half	1068	890
loved	1064	923
10	1054	923
without	1031	946
'	1030	787
getting	1022	959
served	1017	848
parking	1017	800
fried	1016	755
oh	1013	907
least	1012	916
put	1010	911
patio	1009	858
having	1006	914
looked	1004	858
busy	1001	904
customer	1000	825
